City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Winnemucca,US,2022-01-30 17:58:46,40.973,-117.7357,39.38,25,11,1.72
180,Olinda,BR,2022-01-30 17:58:47,-8.0089,-34.8553,85.73,70,40,11.5
181,Hasaki,JP,2022-01-30 17:58:30,35.7333,140.8333,34.2,49,96,13.98
182,Mahebourg,MU,2022-01-30 17:59:47,-20.4081,57.7,80.89,78,75,14.97
183,Tuatapere,NZ,2022-01-30 17:59:48,-46.1333,167.6833,58.82,95,49,2.48
184,Camacupa,AO,2022-01-30 17:59:48,-12.0167,17.4833,63.66,88,99,4.65
185,Mount Gambier,AU,2022-01-30 17:57:27,-37.8333,140.7667,62.51,94,100,6.91
186,Ubinskoye,RU,2022-01-30 17:59:48,55.3068,79.6802,10.31,97,65,8.99
187,East London,ZA,2022-01-30 17:58:22,-33.0153,27.9116,76.14,83,0,14.97
188,Boralday,KZ,2022-01-30 17:59:49,43.3578,76.8594,24.66,93,40,4.47
189,Lewiston,US,2022-01-30 17:57:42,44.1003,-70.2148,22.8,56,92,1.99
190,Lugau,DE,2022-01-30 17:59:49,50.7333,12.75,37.78,66,98,18.3
191,Kabo,CF,2022-01-30 17:59:50,7.6994,18.629,79.95,16,80,5.7
192,Brigantine,US,2022-01-30 17:59:50,39.4101,-74.3646,27.14,36,7,13.62
193,Portland,US,2022-01-30 17:55:13,45.5234,-122.6762,46.2,77,100,3.0
194,Saint George,US,2022-01-30 17:59:51,37.1041,-113.5841,51.35,31,15,0.74
195,Isla Vista,US,2022-01-30 17:59:51,34.4133,-119.861,70.68,45,0,3.0
196,Port Lincoln,AU,2022-01-30 17:59:52,-34.7333,135.8667,66.16,84,1,10.69
197,Waitati,NZ,2022-01-30 17:59:52,-45.75,170.5667,54.3,93,4,3.71
198,Vila Franca Do Campo,PT,2022-01-30 17:59:53,37.7167,-25.4333,60.19,79,80,14.54
199,Sisimiut,GL,2022-01-30 17:59:53,66.9395,-53.6735,10.94,79,100,21.27
200,Beian,NO,2022-01-30 17:59:53,63.6559,9.5683,36.01,86,75,3.44
201,Fontaine,FR,2022-01-30 17:59:54,45.1984,5.6827,46.35,87,34,1.01
202,Ibra,OM,2022-01-30 17:59:54,22.6906,58.5334,73.13,26,0,4.68
203,Carnarvon,AU,2022-01-30 17:59:55,-24.8667,113.6333,80.67,74,13,14.97
204,Bilma,NE,2022-01-30 17:56:58,18.6853,12.9164,64.58,15,1,13.65
205,Bathsheba,BB,2022-01-30 17:55:51,13.2167,-59.5167,84.81,61,20,19.57
206,Pisco,PE,2022-01-30 17:59:55,-13.7,-76.2167,74.01,73,0,10.36
207,Doka,SD,2022-01-30 17:59:56,13.5167,35.7667,79.5,28,68,12.73
208,Severo-Kurilsk,RU,2022-01-30 17:56:48,50.6789,156.125,26.37,92,100,14.63
209,Adre,TD,2022-01-30 17:59:56,13.4667,22.2,69.55,17,1,6.51
210,Ponta Delgada,PT,2022-01-30 17:59:57,37.7333,-25.6667,60.49,72,40,19.57
211,Nouadhibou,MR,2022-01-30 17:59:57,20.931,-17.0347,69.78,64,96,14.97
212,Magdagachi,RU,2022-01-30 17:59:58,53.45,125.8,-6.54,92,51,4.45
213,Vanimo,PG,2022-01-30 17:59:58,-2.6741,141.3028,77.09,87,99,9.84
214,Fortuna,US,2022-01-30 17:59:58,40.5982,-124.1573,49.66,96,100,6.91
215,Basco,PH,2022-01-30 17:59:59,20.4487,121.9702,70.84,77,83,34.16
216,Cam Ranh,VN,2022-01-30 17:59:59,11.9214,109.1591,73.36,88,20,3.44
217,Salalah,OM,2022-01-30 17:58:30,17.0151,54.0924,71.22,65,60,1.92
218,Torbat-E Jam,IR,2022-01-30 18:00:00,35.244,60.6225,39.16,73,3,3.33
219,Cherskiy,RU,2022-01-30 18:00:00,68.75,161.3,-24.0,97,88,4.74
220,Stratford-Upon-Avon,GB,2022-01-30 18:00:01,52.1917,-1.7073,45.9,79,95,15.03
221,Fukue,JP,2022-01-30 18:00:02,32.6881,128.8419,44.87,56,9,20.8
222,Polyarnyy,RU,2022-01-30 18:00:03,69.1989,33.4478,-3.53,96,98,8.3
223,Buraydah,SA,2022-01-30 17:57:37,26.326,43.975,63.05,34,38,16.17
224,Skaelskor,DK,2022-01-30 18:00:05,55.2506,11.2935,39.09,75,3,21.7
225,Dunmore East,IE,2022-01-30 18:00:06,52.1514,-6.9861,50.32,77,75,12.66
