City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Port Moresby,PG,85.28,overcast clouds,-9.4431,147.1797,Port Moresby
605,Luba,GQ,79.38,light rain,3.4568,8.5547,Luba
608,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Alice Springs
611,Alyangula,AU,88.21,overcast clouds,-13.8483,136.4192,Alyangula
612,Norsup,VU,83.01,overcast clouds,-16.0667,167.3833,Norsup
616,Axim,GH,75.72,scattered clouds,4.8699,-2.2405,Axim
624,Bacungan,PH,84.43,broken clouds,9.9106,118.7022,Puerto Princesa
625,Maragogi,BR,78.03,scattered clouds,-9.0122,-35.2225,Maragogi
626,Jaffna,LK,79.56,clear sky,9.6685,80.0074,Jaffna
630,Porbandar,IN,77.49,few clouds,21.6422,69.6093,Porbandar
642,Cayenne,GF,78.1,scattered clouds,4.9333,-52.3333,Cayenne
649,Harper,LR,76.95,light rain,4.375,-7.7169,Harper
652,Manaquiri,BR,75.65,overcast clouds,-3.3167,-60.35,Manaquery
656,Loandjili,CG,78.08,overcast clouds,-4.7561,11.8578,Pointe-Noire
657,Buchanan,LR,76.03,few clouds,5.8808,-10.0467,Buchanan
660,Oranjestad,AW,78.96,clear sky,12.524,-70.027,Oranjestad
662,Phan Thiet,VN,87.98,scattered clouds,10.9333,108.1,Phan Thiet
665,Cururupu,BR,75.52,overcast clouds,-1.8283,-44.8683,Cururupu
666,Ligayan,PH,81.97,overcast clouds,4.6533,119.4706,Sibutu
671,Poum,NC,82.9,few clouds,-20.2333,164.0167,Poum
673,San Juan,AR,77.72,overcast clouds,-31.5375,-68.5364,San Juan
686,Imbituba,BR,77.83,few clouds,-28.24,-48.6703,Imbituba
692,Kiama,AU,75.0,overcast clouds,-34.6833,150.8667,Kiama
693,Palasa,IN,80.13,scattered clouds,18.7667,84.4167,Palasa at Kasibugga
694,Salalah,OM,84.29,clear sky,17.0151,54.0924,Salalah
698,Bella Union,UY,78.84,broken clouds,-30.2752,-57.6007,Monte Caseros
700,Odweyne,SO,75.85,clear sky,9.4092,45.064,Oodweyne
702,Bontang,ID,84.67,broken clouds,0.1333,117.5,Bontang
